CAR TYPE,CC AND FUEL TYPE,ASSEMBLER,BRAND,TYPE / MODEL,CC,TRANS,"FUEL (G/D)","TANK CAPT","GVW (Kg)",GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,"WHEEL BASE","DIMENSION P x L x T",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEELS,CBU,"ORIGIN COUNTRY",JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Segmt Share,Sedan Share,TOTAL 2020
SEDAN TYPE,CC < 1.500 [G/D],PT. Toyota Motor Mftg Indonesia,TOYOTA,VIOS D (LOW GRADE),1500,MT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,5,-,-,-,-,-,-,1,4,-,-,-,"0,0%","0,0%",10
,,,,VIOS R (MID GRADE),1500,MT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,10,-,-,-,-,-,-,"0,0%","0,0%",10
,,,,VIOS D (LOW GRADE),1500,CVT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,5,-,-,-,-,-,-,-,-,-,-,-,"0,0%","0,0%",5
,,,,VIOS R (MID GRADE),1500,CVT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,126,147,66,29,10,44,170,-,37,104,95,-,"3,6%","3,4%",828
,,,,VIOS G (HIGH GRADE),1500,CVT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,34,40,49,7,1,10,7,-,-,-,-,-,"0,6%","0,6%",148
,,,,VIOS R (MID GRADE),1500,CVT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,3.501,3.233,2.830,1.366,400,1.447,1.413,773,1.130,1.558,2.187,1.765,"93,8%","89,2%",21.603
,,,,VIOS D (LOW GRADE),1500,MT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,2,-,6,3,-,3,-,6,-,1,6,2,"0,1%","0,1%",29
,,,,VIOS G (HIGH GRADE),1500,MT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,1,7,25,1,-,-,-,-,-,-,-,2,"0,2%","0,1%",36
,,,,VIOS R (MID GRADE),1500,MT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,-,-,-,-,-,-,-,1,-,-,-,3,"0,0%","0,0%",4
,,,,VIOS G (HIGH GRADE),1500,CVT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,16,21,28,16,4,66,5,6,30,22,29,26,"1,2%","1,1%",269
,,,,VIOS R (MID GRADE),1500,CVT,G,42,1080,0,195/50 R16,109 / 6000,2550,4410X1700X1475,5,4X2,FF,0,4,4,CKD,INA,11,19,20,6,2,6,1,4,-,1,14,9,"0,4%","0,4%",93
,CC 1.501 - 3.000 [G],PT. Gaya Motor,BMW,BMW 320,1995,AT,G,0,0,0,0,0,0,0,0,4X2,0,0,4,4,CKD,INA,83,33,14,-,-,45,45,8,-,-,-,1,"19,3%","0,9%",229
,,,,BMW 328/330,2497,AT,G,0,0,0,0,0,0,0,0,4X2,0,0,4,4,CKD,INA,1,48,23,10,-,41,44,1,-,1,-,18,"15,7%","0,8%",187
,,,,BMW 520,2000,AT,G,0,0,0,0,0,0,0,0,4X4,4WD,0,4,4,CKD,INA,-,47,18,26,-,3,-,24,-,1,16,8,"12,0%","0,6%",143
,,,,BMW 528/530,3000,AT,G,0,0,0,0,0,0,0,0,4X4,4WD,0,4,4,CKD,INA,1,-,-,-,-,22,24,1,1,-,16,6,"6,0%","0,3%",71
,,,,BMW 7 series,3000,AT,G,0,0,0,0,0,0,0,0,4X4,4WD,0,4,4,CKD,INA,27,7,11,1,-,8,3,9,3,2,1,-,"6,1%","0,3%",72
,,PT. Mercedes Benz Indonesia,MERCEDES-BENZ PC,C180,1991,AT,G,41,2030,7,225/50 R17,184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,0,4,4,CKD,IND,20,2,-,-,-,2,23,1,-,-,-,-,"4,0%","0,2%",48
,,,,C 200 AVA,1991,AT,G,66,2030,9,"225/45, 245/40 R18",184,2840,"4,686 x 2,020 x 1,442",5,4X2,FR,0,4,4,CKD,IND,1,-,20,-,-,5,23,-,1,-,-,-,"4,2%","0,2%",50
,,,,C 300 AMG,1991,AT,G,66,2135,9,"225/45, 245/40 R18",258,2840,"4,702 x 2,020 x 1,432",5,4X2,FR,0,4,4,CKD,IND,46,38,4,-,-,55,22,24,1,2,-,-,"16,2%","0,8%",192
,,,,E 200 AVA,1991,AT,G,66,2265,9,245/45 R18,184,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,0,4,4,CKD,IND,23,-,-,-,-,-,-,-,-,-,-,-,"1,9%","0,1%",23
,,,,E 300 AVA,1991,AT,G,66,2395,9,245/45 R18,258,2939,"4,686 x 2,065 x 1,468",5,4X2,FR,0,4,4,CKD,IND,41,22,7,-,-,3,-,-,23,-,-,-,"8,1%","0,4%",96
,,,,E 350 AMG,1991,AT,G,66,2410,9,"245/40, 275/35 R19",299,2939,"4,702 x 2,065 x 1,452",5,4X2,FR,0,4,4,CKD,IND,-,15,6,-,-,3,2,-,22,-,-,-,"4,0%","0,2%",48
,,,,S 450,2996,AT,G,80,2700,9,"245/45, 275/40 R19",367,3165,"5,255 x 2,130 x 1,494",5,4X2,FR,0,4,4,CKD,IND,2,-,5,-,-,11,8,2,-,-,1,-,"2,4%","0,1%",29
4X2 TYPE,CC < 1.500 [G/D],PT. Astra Daihatsu Motor,DAIHATSU,Grand New  Xenia 1.3 X MT,1329,MT,G,45,1120,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,846,940,753,43,-,5,18,33,197,208,200,217,"1,1%","0,9%",3.460
,,,,Grand New  Xenia 1.3 X AT,1329,AT,G,45,1130,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,78,101,92,8,-,1,5,13,44,29,21,10,"0,1%","0,1%",402
,,,,Grand New  Xenia 1.3 R MT,1329,MT,G,45,1110,5125,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,875,1.009,682,34,-,5,12,19,77,78,152,139,"0,9%","0,8%",3.082
,,,,Grand New  Xenia 1.3 R AT,1329,AT,G,45,1120,5571,185/70R14,97,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,108,121,117,8,-,1,5,9,70,49,11,10,"0,2%","0,1%",509
,,,,Grand New  Xenia 1.5 R MT,1496,MT,G,45,1120,4875,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,20,30,30,2,-,-,1,1,8,6,53,-,"0,0%","0,0%",151
,,,,Grand New  Xenia 1.5 R AT,1496,AT,G,45,1130,5125,185/70R14,104,2655,4190X1660X1695,7,4X2,FR,0,5,4,CKD,INA,14,5,10,1,-,-,-,-,-,4,-,-,"0,0%","0,0%",34
,,,,Luxio 1.5 D (New ),1495,MT,G,43,1290,5152,195/65R15,97,2650,4215X1710X1915,8,4X2,FR,0,5,4,CKD,INA,39,33,72,3,-,-,3,63,74,45,45,33,"0,1%","0,1%",410
